background,mode,round,firstPaintOpportunityMs,prepareMs,leadTimeMs,maxFrameGapMs,snapshotPngBytes
camp,warm,1,45.799999952316284,15.299999952316284,500,58.299999999999955,0
camp,snapshot,1,46.699999928474426,104.29999995231628,500,58.5,1154803
camp,cold,1,45.89999997615814,0.10000002384185791,500,108.40000000000009,0
scene02,snapshot,1,47.5,109.39999997615814,500,50,1054009
scene02,warm,1,46.200000047683716,15.699999928474426,500,58.399999999999864,0
scene02,cold,1,46,0.10000002384185791,500,100.59999999999991,0
ruins,warm,1,46.199999928474426,15.700000047683716,500,66.90000000000009,0
ruins,snapshot,1,45.5,102.79999995231628,500,66.79999999999995,1100794
ruins,cold,1,46.10000002384186,0.10000002384185791,500,100.09999999999991,0
jungleB,snapshot,1,45.700000047683716,102.29999995231628,500,58.40000000000009,1085339
jungleB,warm,1,45.699999928474426,15.100000023841858,500,66.70000000000005,0
jungleB,cold,1,52.39999997615814,0.19999992847442627,500,100.20000000000005,0
jungleC,warm,1,45.700000047683716,15.899999976158142,500,66.89999999999986,0
jungleC,snapshot,1,45.700000047683716,102,500,58.5,1096384
jungleC,cold,1,46.5,0.10000002384185791,500,108.39999999999986,0
camp,snapshot,2,45.5,108.60000002384186,500,58.299999999999955,1154845
camp,warm,2,45.60000002384186,15.5,500,66.79999999999995,0
scene02,warm,2,46,15.700000047683716,500,58.5,0
scene02,snapshot,2,45.89999997615814,113.10000002384186,500,58.5,1053939
ruins,snapshot,2,46.89999997615814,108.69999992847443,500,58.5,1100826
ruins,warm,2,46.299999952316284,15.600000023841858,500,58.700000000000045,0
jungleB,warm,2,46.5,15.599999904632568,500,58.399999999999864,0
jungleB,snapshot,2,46.5,102.60000002384186,500,58.299999999999955,1085267
jungleC,snapshot,2,47.299999952316284,103.80000007152557,500,58.5,1096369
jungleC,warm,2,47.39999997615814,15.899999976158142,500,58.399999999999864,0
camp,warm,3,45.799999952316284,15.600000023841858,500,58.299999999999955,0
camp,snapshot,3,46.5,107.40000009536743,500,58.40000000000009,1154864
scene02,snapshot,3,45.90000009536743,101.10000002384186,500,58.399999999999864,1053927
scene02,warm,3,46,15.700000047683716,500,58.40000000000009,0
ruins,warm,3,45.800000071525574,15.599999904632568,500,58.5,0
ruins,snapshot,3,47,102.5,500,58.40000000000009,1100845
jungleB,snapshot,3,47.89999997615814,101.60000002384186,500,58.5,1085267
jungleB,warm,3,46.5,15.899999976158142,500,58.5,0
jungleC,warm,3,45.800000071525574,15.699999928474426,500,58.399999999999864,0
jungleC,snapshot,3,46.40000009536743,102.69999992847443,500,66.79999999999995,1096397
